,Caso,Tenure,Max de Iterações,Solução Inicial,Ótimo,Custo Média,Custo Mínimo,Tempo Média,Gap Média,Gap Mínimo,Tempo
14,A-n32-k5.vrp,100,500,Random,0,862.3837490404821,800.0488228850484,22.756685972213745,0.0999792,0.02047,0
31,A-n54-k7.vrp,100,500,Savings,0,1250.8894924299007,1224.8777966381078,111.99095664024352,0.07188459999999999,0.049595,0
47,A-n80-k10.vrp,100,500,Savings,0,1894.1791734871815,1881.1770813965568,286.82112592458725,0.07440675000000001,0.067032,0
59,B-n31-k5.vrp,85,500,Savings,0,676.0884122584414,676.0884122584414,14.009002161026,0.006084,0.006084,0
75,B-n43-k6.vrp,85,500,Savings,0,768.2530031611439,753.8054337973883,54.52799644470215,0.0353814,0.01591,0
95,B-n68-k9.vrp,100,500,Savings,0,1355.6696026468562,1335.674193847079,236.54242577552796,0.065778,0.050058,0
103,F-n135-k7.vrp,45,500,Savings,0,1432.451644306387,1403.2157330021523,300.3560345172882,0.23274699999999998,0.207587,0
117,F-n45-k4.vrp,45,100,Savings,0,728.9919071509365,728.9919071509365,8.410003900527954,0.006895,0.006895,0
133,F-n72-k4.vrp,45,100,Savings,0,246.95241917463204,246.95241917463204,21.254404830932618,0.041993,0.041993,0
