num_teste,caso,tenure,max_iter,sol_ini,iter_sem_mod,tempo,custo,gap
0,A-n80-k10.vrp,5,10,Savings,10,11.697344303131104,1918.0,0.087918
1,A-n80-k10.vrp,5,10,Savings,10,10.987426996231079,1943.0,0.102099
2,A-n80-k10.vrp,5,10,Savings,10,14.887590885162354,1851.0,0.049915
3,A-n80-k10.vrp,5,10,Savings,10,12.843149185180664,1897.0,0.076007
4,A-n80-k10.vrp,5,10,Savings,10,12.229511260986328,1909.0,0.082813
5,A-n80-k10.vrp,5,100,Savings,100,47.8932249546051,1852.0,0.050482
6,A-n80-k10.vrp,5,100,Savings,100,45.27258324623108,1899.0,0.077141
7,A-n80-k10.vrp,5,100,Savings,100,49.69322872161865,1889.0,0.071469
8,A-n80-k10.vrp,5,100,Savings,100,45.734703540802,1846.0,0.047079
9,A-n80-k10.vrp,5,100,Savings,100,45.32531452178955,1879.0,0.065797
10,A-n80-k10.vrp,5,500,Savings,500,187.12687516212463,1936.0,0.098128
11,A-n80-k10.vrp,5,500,Savings,500,189.8185350894928,1869.0,0.060125
12,A-n80-k10.vrp,5,500,Savings,500,185.65164017677307,1912.0,0.084515
13,A-n80-k10.vrp,5,500,Savings,500,179.3612139225006,1930.0,0.094725
14,A-n80-k10.vrp,5,500,Savings,500,177.88555455207825,1930.0,0.094725
15,A-n80-k10.vrp,10,10,Savings,10,10.354144096374512,1943.0,0.102099
16,A-n80-k10.vrp,10,10,Savings,10,13.381803512573242,1852.0,0.050482
17,A-n80-k10.vrp,10,10,Savings,10,12.607697010040283,1874.0,0.062961
18,A-n80-k10.vrp,10,10,Savings,10,12.276475667953491,1894.0,0.074305
19,A-n80-k10.vrp,10,10,Savings,10,12.392122268676758,1874.0,0.062961
20,A-n80-k10.vrp,10,100,Savings,100,45.779651403427124,1869.0,0.060125
21,A-n80-k10.vrp,10,100,Savings,100,43.71261978149414,1906.0,0.081112
22,A-n80-k10.vrp,10,100,Savings,100,41.81928324699402,1930.0,0.094725
23,A-n80-k10.vrp,10,100,Savings,100,43.019256591796875,1934.0,0.096994
24,A-n80-k10.vrp,10,100,Savings,100,43.15177369117737,1862.0,0.056154
25,A-n80-k10.vrp,10,500,Savings,500,174.58319759368896,1930.0,0.094725
26,A-n80-k10.vrp,10,500,Savings,500,177.1620352268219,1943.0,0.102099
27,A-n80-k10.vrp,10,500,Savings,500,175.3047285079956,1943.0,0.102099
28,A-n80-k10.vrp,10,500,Savings,500,176.99605751037598,1889.0,0.071469
29,A-n80-k10.vrp,10,500,Savings,500,176.99262309074402,1922.0,0.090187
30,A-n80-k10.vrp,25,10,Savings,10,12.90834093093872,1889.0,0.071469
31,A-n80-k10.vrp,25,10,Savings,10,10.769173383712769,1930.0,0.094725
32,A-n80-k10.vrp,25,10,Savings,10,11.128926992416382,1945.0,0.103233
33,A-n80-k10.vrp,25,10,Savings,10,10.445910215377808,1943.0,0.102099
34,A-n80-k10.vrp,25,10,Savings,10,10.996946573257446,1943.0,0.102099
35,A-n80-k10.vrp,25,100,Savings,100,42.67858147621155,1936.0,0.098128
