num_teste,caso,tenure,max_iter,sol_ini,iter_sem_mod,tempo,custo,gap
0,A-n32-k5.vrp,5,10,Savings,10,0.7780044078826904,850.0,0.084184
1,A-n32-k5.vrp,5,10,Savings,10,0.5439910888671875,913.0,0.164541
2,A-n32-k5.vrp,5,10,Savings,10,0.5729959011077881,913.0,0.164541
3,A-n32-k5.vrp,5,10,Savings,10,0.5590035915374756,913.0,0.164541
4,A-n32-k5.vrp,5,10,Savings,10,0.6719882488250732,850.0,0.084184
5,A-n32-k5.vrp,5,100,Savings,100,3.135993242263794,843.0,0.075255
6,A-n32-k5.vrp,5,100,Savings,100,3.098001718521118,855.0,0.090561
7,A-n32-k5.vrp,5,100,Savings,100,2.9379935264587402,857.0,0.093112
8,A-n32-k5.vrp,5,100,Savings,100,4.516008377075195,835.0,0.065051
9,A-n32-k5.vrp,5,100,Savings,100,3.055995225906372,843.0,0.075255
10,A-n32-k5.vrp,5,500,Savings,500,13.750988483428955,850.0,0.084184
11,A-n32-k5.vrp,5,500,Savings,500,21.880570650100708,835.0,0.065051
12,A-n32-k5.vrp,5,500,Savings,500,25.94649362564087,837.0,0.067602
13,A-n32-k5.vrp,5,500,Savings,500,13.715001821517944,850.0,0.084184
14,A-n32-k5.vrp,5,500,Savings,500,13.889605283737183,855.0,0.090561
15,A-n32-k5.vrp,5,1000,Savings,1000,28.555586576461792,835.0,0.065051
16,A-n32-k5.vrp,5,1000,Savings,1000,41.67240643501282,835.0,0.065051
17,A-n32-k5.vrp,5,1000,Savings,1000,29.37599539756775,835.0,0.065051
18,A-n32-k5.vrp,5,1000,Savings,1000,26.76520037651062,843.0,0.075255
19,A-n32-k5.vrp,5,1000,Savings,1000,26.43299627304077,850.0,0.084184
20,A-n32-k5.vrp,10,10,Savings,10,0.5719974040985107,855.0,0.090561
21,A-n32-k5.vrp,10,10,Savings,10,0.581993579864502,855.0,0.090561
22,A-n32-k5.vrp,10,10,Savings,10,0.5870039463043213,850.0,0.084184
23,A-n32-k5.vrp,10,10,Savings,10,0.5759978294372559,855.0,0.090561
24,A-n32-k5.vrp,10,10,Savings,10,0.5790023803710938,843.0,0.075255
25,A-n32-k5.vrp,10,100,Savings,100,2.913994789123535,850.0,0.084184
