num_teste,caso,tenure,max_iter,sol_ini,iter_sem_mod,tempo,custo,gap
0,A-n32-k5.vrp,25,100,Savings,100,4.087157487869263,862.2763004685775,0.099842
1,A-n32-k5.vrp,25,100,Savings,100,4.316138982772827,862.2763004685775,0.099842
2,A-n32-k5.vrp,25,100,Savings,100,4.323998212814331,862.2763004685775,0.099842
3,A-n32-k5.vrp,25,100,Savings,100,4.195003747940064,862.2763004685775,0.099842
4,A-n32-k5.vrp,25,100,Savings,100,4.339991331100464,862.2763004685775,0.099842
5,A-n32-k5.vrp,25,500,Savings,500,19.107320070266724,862.2763004685775,0.099842
6,A-n32-k5.vrp,25,500,Savings,500,15.111995935440063,862.2763004685775,0.099842
7,A-n32-k5.vrp,25,500,Savings,500,14.233016967773438,862.2763004685775,0.099842
8,A-n32-k5.vrp,25,500,Savings,500,14.048998832702637,862.2763004685775,0.099842
9,A-n32-k5.vrp,25,500,Savings,500,14.76299786567688,862.2763004685775,0.099842
10,A-n32-k5.vrp,45,100,Savings,100,4.386913061141968,854.804934503039,0.090312
11,A-n32-k5.vrp,45,100,Savings,100,4.18099856376648,854.804934503039,0.090312
12,A-n32-k5.vrp,45,100,Savings,100,4.25999116897583,854.804934503039,0.090312
13,A-n32-k5.vrp,45,100,Savings,100,4.284992218017578,854.804934503039,0.090312
14,A-n32-k5.vrp,45,100,Savings,100,4.413999080657959,854.804934503039,0.090312
15,A-n32-k5.vrp,45,500,Savings,500,18.21298766136169,845.745788861298,0.078757
16,A-n32-k5.vrp,45,500,Savings,500,19.04698944091797,854.1578865207891,0.089487
17,A-n32-k5.vrp,45,500,Savings,500,26.166543006896973,831.3950683927774,0.060453
18,A-n32-k5.vrp,45,500,Savings,500,17.748204469680786,854.804934503039,0.090312
19,A-n32-k5.vrp,45,500,Savings,500,17.133370399475098,854.804934503039,0.090312
20,A-n32-k5.vrp,85,100,Savings,100,4.494758367538452,854.804934503039,0.090312
21,A-n32-k5.vrp,85,100,Savings,100,6.652549982070923,837.6834561689836,0.068474
22,A-n32-k5.vrp,85,100,Savings,100,4.243565320968628,854.804934503039,0.090312
23,A-n32-k5.vrp,85,100,Savings,100,4.356156587600708,854.804934503039,0.090312
24,A-n32-k5.vrp,85,100,Savings,100,4.338580131530762,854.804934503039,0.090312
25,A-n32-k5.vrp,85,500,Savings,500,16.15398144721985,854.804934503039,0.090312
26,A-n32-k5.vrp,85,500,Savings,500,30.23404288291931,834.3991979527771,0.064285
27,A-n32-k5.vrp,85,500,Savings,500,17.677975177764893,845.9635980783164,0.079035
